+----------------------------------------------------------------+
|   №  |  Token               |   Info                           |
+----------------------------------------------------------------+
|  1     |#include                           |PREPROCESSOR DIRECTIVE                              
|  1     |<iostream>                         |HEADER FILE                                         
|  2     |#include                           |PREPROCESSOR DIRECTIVE                              
|  2     |<string>                           |LIBRARY                                             
|  4     |int                                |DATA TYPE                                           
|  4     |t                                  |FUNCTION CALL                                       
|  4     |(                                  |PARENTHESIS                                         
|  4     |)                                  |PARENTHESIS                                         
|  4     |{                                  |PARENTHESIS                                         
|  5     |int                                |DATA TYPE                                           
|  5     |a                                  |VARIABLE (INT)                                      
|  5     |=                                  |ASSIGNMENT OPERATOR                                 
|  5     |5                                  |INTEGER                                             
|  5     |;                                  |END OF CONSTRUCTION                                 
|  6     |return                             |KEYWORD                                             
|  6     |a                                  |VARIABLE (INT)                                      
|  6     |;                                  |END OF CONSTRUCTION                                 
|  7     |}                                  |PARENTHESIS                                         
|  9     |void                               |DATA TYPE                                           
|  9     |print_arr                          |FUNCTION CALL                                       
|  9     |(                                  |PARENTHESIS                                         
|  9     |)                                  |PARENTHESIS                                         
|  9     |{                                  |PARENTHESIS                                         
|  10    |int                                |DATA TYPE                                           
|  10    |arr                                |ARRAY (int)                                         
|  10    |[                                  |PARENTHESIS                                         
|  10    |]                                  |PARENTHESIS                                         
|  10    |=                                  |ASSIGNMENT OPERATOR                                 
|  10    |{                                  |PARENTHESIS                                         
|  10    |64                                 |INTEGER                                             
|  10    |,                                  |COMA                                                
|  10    |25                                 |INTEGER                                             
|  10    |,                                  |COMA                                                
|  10    |12                                 |INTEGER                                             
|  10    |,                                  |COMA                                                
|  10    |22                                 |INTEGER                                             
|  10    |,                                  |COMA                                                
|  10    |11                                 |INTEGER                                             
|  10    |}                                  |PARENTHESIS                                         
|  10    |;                                  |END OF CONSTRUCTION                                 
|  12    |int                                |DATA TYPE                                           
|  12    |*                                  |ASTERIK                                             
|  12    |n                                  |POINTER (INT)                                       
|  12    |=                                  |ASSIGNMENT OPERATOR                                 
|  12    |arr                                |ARRAY (int)                                         
|  12    |.                                  |OPERATOR                                            
|  12    |size                               |METHOD                                              
|  12    |(                                  |PARENTHESIS                                         
|  12    |)                                  |PARENTHESIS                                         
